Generic node info per pod:
	Node:bramega380.internal.domain - Has no CPU requests for Pod:argo-events-controller-manager-7dd45798b7-smtqh | Container:controller-manager
	Node:site-alpha-pop-k8s-master-02.internal.domain - Has no CPU requests for Pod:calico-node-4qpd8 | Container:calico-node
	Node:site-alpha-pop-k8s-master-02.internal.domain - Has no Memory requests for Pod:calico-node-4qpd8 | Container:calico-node
	Node:bramega350.internal.domain - Has no CPU requests for Pod:calico-node-547r2 | Container:calico-node
	Node:bramega350.internal.domain - Has no Memory requests for Pod:calico-node-547r2 | Container:calico-node
	Node:bramega360.internal.domain - Has no CPU requests for Pod:calico-node-559vw | Container:calico-node
	Node:bramega360.internal.domain - Has no Memory requests for Pod:calico-node-559vw | Container:calico-node
	Node:site-alpha-pop-k8s-master-01.internal.domain - Has no CPU requests for Pod:calico-node-5pw8k | Container:calico-node
	Node:site-alpha-pop-k8s-master-01.internal.domain - Has no Memory requests for Pod:calico-node-5pw8k | Container:calico-node
	Node:bramega390.internal.domain - Has no CPU requests for Pod:calico-node-5s5nd | Container:calico-node
	Node:bramega390.internal.domain - Has no Memory requests for Pod:calico-node-5s5nd | Container:calico-node
	Node:bramega340.internal.domain - Has no CPU requests for Pod:calico-node-8l7zv | Container:calico-node
	Node:bramega340.internal.domain - Has no Memory requests for Pod:calico-node-8l7zv | Container:calico-node
	Node:site-alpha-pop-k8s-master-03.internal.domain - Has no CPU requests for Pod:calico-node-mvp8j | Container:calico-node
	Node:site-alpha-pop-k8s-master-03.internal.domain - Has no Memory requests for Pod:calico-node-mvp8j | Container:calico-node
	Node:bramega380.internal.domain - Has no CPU requests for Pod:calico-node-v87d9 | Container:calico-node
	Node:bramega380.internal.domain - Has no Memory requests for Pod:calico-node-v87d9 | Container:calico-node
	Node:bramega370.internal.domain - Has no CPU requests for Pod:calico-node-vwff6 | Container:calico-node
	Node:bramega370.internal.domain - Has no Memory requests for Pod:calico-node-vwff6 | Container:calico-node
	Node:bramega390.internal.domain - Has no CPU requests for Pod:calico-typha-95cbc4fc9-5lbv2 | Container:calico-typha
	Node:bramega390.internal.domain - Has no Memory requests for Pod:calico-typha-95cbc4fc9-5lbv2 | Container:calico-typha
	Node:site-alpha-pop-k8s-master-03.internal.domain - Has no CPU requests for Pod:calico-typha-95cbc4fc9-hjldq | Container:calico-typha
	Node:site-alpha-pop-k8s-master-03.internal.domain - Has no Memory requests for Pod:calico-typha-95cbc4fc9-hjldq | Container:calico-typha
	Node:site-alpha-pop-k8s-master-02.internal.domain - Has no CPU requests for Pod:calico-typha-95cbc4fc9-zqf9m | Container:calico-typha
	Node:site-alpha-pop-k8s-master-02.internal.domain - Has no Memory requests for Pod:calico-typha-95cbc4fc9-zqf9m | Container:calico-typha
	Node:site-alpha-pop-k8s-master-01.internal.domain - Has no CPU requests for Pod:csi-node-driver-4rphk | Container:calico-csi
	Node:site-alpha-pop-k8s-master-01.internal.domain - Has no Memory requests for Pod:csi-node-driver-4rphk | Container:calico-csi
	Node:site-alpha-pop-k8s-master-01.internal.domain - Has no CPU requests for Pod:csi-node-driver-4rphk | Container:csi-node-driver-registrar
	Node:site-alpha-pop-k8s-master-01.internal.domain - Has no Memory requests for Pod:csi-node-driver-4rphk | Container:csi-node-driver-registrar
	Node:site-alpha-pop-k8s-master-02.internal.domain - Has no CPU requests for Pod:csi-node-driver-9d7hz | Container:calico-csi
	Node:site-alpha-pop-k8s-master-02.internal.domain - Has no Memory requests for Pod:csi-node-driver-9d7hz | Container:calico-csi
	Node:site-alpha-pop-k8s-master-02.internal.domain - Has no CPU requests for Pod:csi-node-driver-9d7hz | Container:csi-node-driver-registrar
	Node:site-alpha-pop-k8s-master-02.internal.domain - Has no Memory requests for Pod:csi-node-driver-9d7hz | Container:csi-node-driver-registrar
	Node:bramega370.internal.domain - Has no CPU requests for Pod:csi-node-driver-hbbtk | Container:calico-csi
	Node:bramega370.internal.domain - Has no Memory requests for Pod:csi-node-driver-hbbtk | Container:calico-csi
	Node:bramega370.internal.domain - Has no CPU requests for Pod:csi-node-driver-hbbtk | Container:csi-node-driver-registrar
	Node:bramega370.internal.domain - Has no Memory requests for Pod:csi-node-driver-hbbtk | Container:csi-node-driver-registrar
	Node:bramega360.internal.domain - Has no CPU requests for Pod:csi-node-driver-hnltx | Container:calico-csi
	Node:bramega360.internal.domain - Has no Memory requests for Pod:csi-node-driver-hnltx | Container:calico-csi
	Node:bramega360.internal.domain - Has no CPU requests for Pod:csi-node-driver-hnltx | Container:csi-node-driver-registrar
	Node:bramega360.internal.domain - Has no Memory requests for Pod:csi-node-driver-hnltx | Container:csi-node-driver-registrar
	Node:bramega340.internal.domain - Has no CPU requests for Pod:csi-node-driver-hxhcn | Container:calico-csi
	Node:bramega340.internal.domain - Has no Memory requests for Pod:csi-node-driver-hxhcn | Container:calico-csi
	Node:bramega340.internal.domain - Has no CPU requests for Pod:csi-node-driver-hxhcn | Container:csi-node-driver-registrar
	Node:bramega340.internal.domain - Has no Memory requests for Pod:csi-node-driver-hxhcn | Container:csi-node-driver-registrar
	Node:bramega350.internal.domain - Has no CPU requests for Pod:csi-node-driver-lzksk | Container:calico-csi
	Node:bramega350.internal.domain - Has no Memory requests for Pod:csi-node-driver-lzksk | Container:calico-csi
	Node:bramega350.internal.domain - Has no CPU requests for Pod:csi-node-driver-lzksk | Container:csi-node-driver-registrar
	Node:bramega350.internal.domain - Has no Memory requests for Pod:csi-node-driver-lzksk | Container:csi-node-driver-registrar
	Node:bramega380.internal.domain - Has no CPU requests for Pod:csi-node-driver-mxw7x | Container:calico-csi
	Node:bramega380.internal.domain - Has no Memory requests for Pod:csi-node-driver-mxw7x | Container:calico-csi
	Node:bramega380.internal.domain - Has no CPU requests for Pod:csi-node-driver-mxw7x | Container:csi-node-driver-registrar
	Node:bramega380.internal.domain - Has no Memory requests for Pod:csi-node-driver-mxw7x | Container:csi-node-driver-registrar
	Node:bramega390.internal.domain - Has no CPU requests for Pod:csi-node-driver-vcztn | Container:calico-csi
	Node:bramega390.internal.domain - Has no Memory requests for Pod:csi-node-driver-vcztn | Container:calico-csi
	Node:bramega390.internal.domain - Has no CPU requests for Pod:csi-node-driver-vcztn | Container:csi-node-driver-registrar
	Node:bramega390.internal.domain - Has no Memory requests for Pod:csi-node-driver-vcztn | Container:csi-node-driver-registrar
	Node:site-alpha-pop-k8s-master-03.internal.domain - Has no CPU requests for Pod:csi-node-driver-vk7vh | Container:calico-csi
	Node:site-alpha-pop-k8s-master-03.internal.domain - Has no Memory requests for Pod:csi-node-driver-vk7vh | Container:calico-csi
	Node:site-alpha-pop-k8s-master-03.internal.domain - Has no CPU requests for Pod:csi-node-driver-vk7vh | Container:csi-node-driver-registrar
	Node:site-alpha-pop-k8s-master-03.internal.domain - Has no Memory requests for Pod:csi-node-driver-vk7vh | Container:csi-node-driver-registrar
	Node:bramega330.internal.domain - Has no CPU requests for Pod:csi-node-driver-wmtvx | Container:calico-csi
	Node:bramega330.internal.domain - Has no Memory requests for Pod:csi-node-driver-wmtvx | Container:calico-csi
	Node:bramega330.internal.domain - Has no CPU requests for Pod:csi-node-driver-wmtvx | Container:csi-node-driver-registrar
	Node:bramega330.internal.domain - Has no Memory requests for Pod:csi-node-driver-wmtvx | Container:csi-node-driver-registrar
	Node:bramega330.internal.domain - Has no CPU requests for Pod:fleet-agent-f7dc57db7-sqpff | Container:fleet-agent
	Node:bramega330.internal.domain - Has no Memory requests for Pod:fleet-agent-f7dc57db7-sqpff | Container:fleet-agent
	Node:bramega330.internal.domain - Has no CPU requests for Pod:cattle-cluster-agent-56dc7749f4-lqjgc | Container:cluster-register
	Node:bramega330.internal.domain - Has no Memory requests for Pod:cattle-cluster-agent-56dc7749f4-lqjgc | Container:cluster-register
	Node:site-alpha-pop-k8s-master-03.internal.domain - Has no CPU requests for Pod:cattle-cluster-agent-56dc7749f4-n4nv9 | Container:cluster-register
	Node:site-alpha-pop-k8s-master-03.internal.domain - Has no Memory requests for Pod:cattle-cluster-agent-56dc7749f4-n4nv9 | Container:cluster-register
	Node:bramega330.internal.domain - Has no CPU requests for Pod:rancher-webhook-fd7599678-v8z6k | Container:rancher-webhook
	Node:bramega330.internal.domain - Has no Memory requests for Pod:rancher-webhook-fd7599678-v8z6k | Container:rancher-webhook
	Node:site-alpha-pop-k8s-master-01.internal.domain - Has no CPU requests for Pod:system-upgrade-controller-6f86d6d4df-h4bh4 | Container:system-upgrade-controller
	Node:site-alpha-pop-k8s-master-01.internal.domain - Has no Memory requests for Pod:system-upgrade-controller-6f86d6d4df-h4bh4 | Container:system-upgrade-controller
	Node:bramega360.internal.domain - Has no CPU requests for Pod:cert-manager-5b97689c67-5pt9q | Container:cert-manager
	Node:bramega360.internal.domain - Has no Memory requests for Pod:cert-manager-5b97689c67-5pt9q | Container:cert-manager
	Node:bramega380.internal.domain - Has no CPU requests for Pod:cert-manager-cainjector-d9cdd94b5-bdd6d | Container:cert-manager
	Node:bramega380.internal.domain - Has no Memory requests for Pod:cert-manager-cainjector-d9cdd94b5-bdd6d | Container:cert-manager
	Node:bramega370.internal.domain - Has no CPU requests for Pod:cert-manager-webhook-5f46799497-qnvxw | Container:cert-manager
	Node:bramega370.internal.domain - Has no Memory requests for Pod:cert-manager-webhook-5f46799497-qnvxw | Container:cert-manager
	Node:bramega390.internal.domain - Has no CPU requests for Pod:couchbase-operator-couchbase-admission-controller-5f8bd5f5cdtgg | Container:couchbase-operator
	Node:bramega390.internal.domain - Has no Memory requests for Pod:couchbase-operator-couchbase-admission-controller-5f8bd5f5cdtgg | Container:couchbase-operator
	Node:bramega380.internal.domain - Has no CPU requests for Pod:couchbase-operator-couchbase-operator-dc9f8984b-rf4k7 | Container:couchbase-operator
	Node:bramega380.internal.domain - Has no Memory requests for Pod:couchbase-operator-couchbase-operator-dc9f8984b-rf4k7 | Container:couchbase-operator
	Node:bramega390.internal.domain - Has no CPU requests for Pod:karavi-metrics-powerstore-7c8f4775b7-qj7js | Container:karavi-metrics-powerstore
	Node:bramega390.internal.domain - Has no Memory requests for Pod:karavi-metrics-powerstore-7c8f4775b7-qj7js | Container:karavi-metrics-powerstore
	Node:bramega390.internal.domain - Has no CPU requests for Pod:karavi-topology-6f44864d99-285sh | Container:karavi-topology
	Node:bramega390.internal.domain - Has no Memory requests for Pod:karavi-topology-6f44864d99-285sh | Container:karavi-topology
	Node:bramega390.internal.domain - Has no CPU requests for Pod:otel-collector-5d7f4db8f7-j6dq8 | Container:nginx-proxy
	Node:bramega390.internal.domain - Has no Memory requests for Pod:otel-collector-5d7f4db8f7-j6dq8 | Container:nginx-proxy
	Node:bramega390.internal.domain - Has no CPU requests for Pod:otel-collector-5d7f4db8f7-j6dq8 | Container:otel-collector
	Node:bramega390.internal.domain - Has no Memory requests for Pod:otel-collector-5d7f4db8f7-j6dq8 | Container:otel-collector
	Node:bramega350.internal.domain - Has no CPU requests for Pod:pod-demo | Container:nginx
	Node:bramega350.internal.domain - Has no Memory requests for Pod:pod-demo | Container:nginx
	Node:bramega330.internal.domain - Has no CPU requests for Pod:powerstore-controller-648dbb59dc-d49bz | Container:attacher
	Node:bramega330.internal.domain - Has no Memory requests for Pod:powerstore-controller-648dbb59dc-d49bz | Container:attacher
	Node:bramega330.internal.domain - Has no CPU requests for Pod:powerstore-controller-648dbb59dc-d49bz | Container:resizer
	Node:bramega330.internal.domain - Has no Memory requests for Pod:powerstore-controller-648dbb59dc-d49bz | Container:resizer
	Node:bramega330.internal.domain - Has no CPU requests for Pod:powerstore-controller-648dbb59dc-d49bz | Container:provisioner
	Node:bramega330.internal.domain - Has no Memory requests for Pod:powerstore-controller-648dbb59dc-d49bz | Container:provisioner
	Node:bramega330.internal.domain - Has no CPU requests for Pod:powerstore-controller-648dbb59dc-d49bz | Container:snapshotter
	Node:bramega330.internal.domain - Has no Memory requests for Pod:powerstore-controller-648dbb59dc-d49bz | Container:snapshotter
	Node:bramega330.internal.domain - Has no CPU requests for Pod:powerstore-controller-648dbb59dc-d49bz | Container:csi-metadata-retriever
	Node:bramega330.internal.domain - Has no Memory requests for Pod:powerstore-controller-648dbb59dc-d49bz | Container:csi-metadata-retriever
	Node:bramega330.internal.domain - Has no CPU requests for Pod:powerstore-controller-648dbb59dc-d49bz | Container:driver
	Node:bramega330.internal.domain - Has no Memory requests for Pod:powerstore-controller-648dbb59dc-d49bz | Container:driver
	Node:bramega350.internal.domain - Has no CPU requests for Pod:powerstore-node-25gln | Container:driver
	Node:bramega350.internal.domain - Has no Memory requests for Pod:powerstore-node-25gln | Container:driver
	Node:bramega350.internal.domain - Has no CPU requests for Pod:powerstore-node-25gln | Container:registrar
	Node:bramega350.internal.domain - Has no Memory requests for Pod:powerstore-node-25gln | Container:registrar
	Node:bramega340.internal.domain - Has no CPU requests for Pod:powerstore-node-h9ll6 | Container:driver
	Node:bramega340.internal.domain - Has no Memory requests for Pod:powerstore-node-h9ll6 | Container:driver
	Node:bramega340.internal.domain - Has no CPU requests for Pod:powerstore-node-h9ll6 | Container:registrar
	Node:bramega340.internal.domain - Has no Memory requests for Pod:powerstore-node-h9ll6 | Container:registrar
	Node:bramega370.internal.domain - Has no CPU requests for Pod:powerstore-node-nbgpb | Container:driver
	Node:bramega370.internal.domain - Has no Memory requests for Pod:powerstore-node-nbgpb | Container:driver
	Node:bramega370.internal.domain - Has no CPU requests for Pod:powerstore-node-nbgpb | Container:registrar
	Node:bramega370.internal.domain - Has no Memory requests for Pod:powerstore-node-nbgpb | Container:registrar
	Node:bramega380.internal.domain - Has no CPU requests for Pod:powerstore-node-njq4f | Container:driver
	Node:bramega380.internal.domain - Has no Memory requests for Pod:powerstore-node-njq4f | Container:driver
	Node:bramega380.internal.domain - Has no CPU requests for Pod:powerstore-node-njq4f | Container:registrar
	Node:bramega380.internal.domain - Has no Memory requests for Pod:powerstore-node-njq4f | Container:registrar
	Node:bramega360.internal.domain - Has no CPU requests for Pod:powerstore-node-sk5nb | Container:driver
	Node:bramega360.internal.domain - Has no Memory requests for Pod:powerstore-node-sk5nb | Container:driver
	Node:bramega360.internal.domain - Has no CPU requests for Pod:powerstore-node-sk5nb | Container:registrar
	Node:bramega360.internal.domain - Has no Memory requests for Pod:powerstore-node-sk5nb | Container:registrar
	Node:bramega390.internal.domain - Has no CPU requests for Pod:powerstore-node-v2wnl | Container:driver
	Node:bramega390.internal.domain - Has no Memory requests for Pod:powerstore-node-v2wnl | Container:driver
	Node:bramega390.internal.domain - Has no CPU requests for Pod:powerstore-node-v2wnl | Container:registrar
	Node:bramega390.internal.domain - Has no Memory requests for Pod:powerstore-node-v2wnl | Container:registrar
	Node:bramega330.internal.domain - Has no CPU requests for Pod:powerstore-node-xl4f8 | Container:driver
	Node:bramega330.internal.domain - Has no Memory requests for Pod:powerstore-node-xl4f8 | Container:driver
	Node:bramega330.internal.domain - Has no CPU requests for Pod:powerstore-node-xl4f8 | Container:registrar
	Node:bramega330.internal.domain - Has no Memory requests for Pod:powerstore-node-xl4f8 | Container:registrar
	Node:bramega370.internal.domain - Has no CPU requests for Pod:falcon-image-analyzer-5564bf9768-8n5r2 | Container:falcon-image-analyzer
	Node:bramega370.internal.domain - Has no Memory requests for Pod:falcon-image-analyzer-5564bf9768-8n5r2 | Container:falcon-image-analyzer
	Node:bramega360.internal.domain - Has no CPU requests for Pod:gpas-admin-5cc8765c97-ztwr5 | Container:core-logrotate
	Node:bramega360.internal.domain - Has no Memory requests for Pod:gpas-admin-5cc8765c97-ztwr5 | Container:core-logrotate
	Node:bramega390.internal.domain - Has no CPU requests for Pod:gpas-back-6684885596-8d4xm | Container:core-logrotate
	Node:bramega390.internal.domain - Has no Memory requests for Pod:gpas-back-6684885596-8d4xm | Container:core-logrotate
	Node:bramega370.internal.domain - Has no CPU requests for Pod:gpas-back-6684885596-8fj5x | Container:core-logrotate
	Node:bramega370.internal.domain - Has no Memory requests for Pod:gpas-back-6684885596-8fj5x | Container:core-logrotate
	Node:bramega350.internal.domain - Has no CPU requests for Pod:gpas-back-6684885596-vdtk7 | Container:core-logrotate
	Node:bramega350.internal.domain - Has no Memory requests for Pod:gpas-back-6684885596-vdtk7 | Container:core-logrotate
	Node:bramega330.internal.domain - Has no CPU requests for Pod:gpas-container-blue-zone-a-0 | Container:sync-sidecar
	Node:bramega330.internal.domain - Has no Memory requests for Pod:gpas-container-blue-zone-a-0 | Container:sync-sidecar
	Node:bramega330.internal.domain - Has no CPU requests for Pod:gpas-container-blue-zone-a-0 | Container:core-logrotate
	Node:bramega330.internal.domain - Has no Memory requests for Pod:gpas-container-blue-zone-a-0 | Container:core-logrotate
	Node:bramega360.internal.domain - Has no CPU requests for Pod:gpas-container-blue-zone-a-1 | Container:sync-sidecar
	Node:bramega360.internal.domain - Has no Memory requests for Pod:gpas-container-blue-zone-a-1 | Container:sync-sidecar
	Node:bramega360.internal.domain - Has no CPU requests for Pod:gpas-container-blue-zone-a-1 | Container:core-logrotate
	Node:bramega360.internal.domain - Has no Memory requests for Pod:gpas-container-blue-zone-a-1 | Container:core-logrotate
	Node:bramega370.internal.domain - Has no CPU requests for Pod:gpas-container-blue-zone-a-2 | Container:sync-sidecar
	Node:bramega370.internal.domain - Has no Memory requests for Pod:gpas-container-blue-zone-a-2 | Container:sync-sidecar
	Node:bramega370.internal.domain - Has no CPU requests for Pod:gpas-container-blue-zone-a-2 | Container:core-logrotate
	Node:bramega370.internal.domain - Has no Memory requests for Pod:gpas-container-blue-zone-a-2 | Container:core-logrotate
	Node:bramega340.internal.domain - Has no CPU requests for Pod:gpas-container-blue-zone-a-3 | Container:sync-sidecar
	Node:bramega340.internal.domain - Has no Memory requests for Pod:gpas-container-blue-zone-a-3 | Container:sync-sidecar
	Node:bramega340.internal.domain - Has no CPU requests for Pod:gpas-container-blue-zone-a-3 | Container:core-logrotate
	Node:bramega340.internal.domain - Has no Memory requests for Pod:gpas-container-blue-zone-a-3 | Container:core-logrotate
	Node:bramega390.internal.domain - Has no CPU requests for Pod:gpas-container-blue-zone-a-4 | Container:sync-sidecar
	Node:bramega390.internal.domain - Has no Memory requests for Pod:gpas-container-blue-zone-a-4 | Container:sync-sidecar
	Node:bramega390.internal.domain - Has no CPU requests for Pod:gpas-container-blue-zone-a-4 | Container:core-logrotate
	Node:bramega390.internal.domain - Has no Memory requests for Pod:gpas-container-blue-zone-a-4 | Container:core-logrotate
	Node:bramega380.internal.domain - Has no CPU requests for Pod:gpas-container-blue-zone-a-5 | Container:sync-sidecar
	Node:bramega380.internal.domain - Has no Memory requests for Pod:gpas-container-blue-zone-a-5 | Container:sync-sidecar
	Node:bramega380.internal.domain - Has no CPU requests for Pod:gpas-container-blue-zone-a-5 | Container:core-logrotate
	Node:bramega380.internal.domain - Has no Memory requests for Pod:gpas-container-blue-zone-a-5 | Container:core-logrotate
	Node:bramega370.internal.domain - Has no CPU requests for Pod:gpas-core-blue-777884f8b4-5hxr7 | Container:git-checkout
	Node:bramega370.internal.domain - Has no Memory requests for Pod:gpas-core-blue-777884f8b4-5hxr7 | Container:git-checkout
	Node:bramega370.internal.domain - Has no CPU requests for Pod:gpas-core-blue-777884f8b4-5hxr7 | Container:core-logrotate
	Node:bramega370.internal.domain - Has no Memory requests for Pod:gpas-core-blue-777884f8b4-5hxr7 | Container:core-logrotate
	Node:bramega360.internal.domain - Has no CPU requests for Pod:gpas-core-blue-777884f8b4-ddk8w | Container:git-checkout
	Node:bramega360.internal.domain - Has no Memory requests for Pod:gpas-core-blue-777884f8b4-ddk8w | Container:git-checkout
	Node:bramega360.internal.domain - Has no CPU requests for Pod:gpas-core-blue-777884f8b4-ddk8w | Container:core-logrotate
	Node:bramega360.internal.domain - Has no Memory requests for Pod:gpas-core-blue-777884f8b4-ddk8w | Container:core-logrotate
	Node:bramega390.internal.domain - Has no CPU requests for Pod:gpas-core-blue-777884f8b4-fsc76 | Container:git-checkout
	Node:bramega390.internal.domain - Has no Memory requests for Pod:gpas-core-blue-777884f8b4-fsc76 | Container:git-checkout
	Node:bramega390.internal.domain - Has no CPU requests for Pod:gpas-core-blue-777884f8b4-fsc76 | Container:core-logrotate
	Node:bramega390.internal.domain - Has no Memory requests for Pod:gpas-core-blue-777884f8b4-fsc76 | Container:core-logrotate
	Node:bramega330.internal.domain - Has no CPU requests for Pod:gpas-core-blue-777884f8b4-fznmt | Container:git-checkout
	Node:bramega330.internal.domain - Has no Memory requests for Pod:gpas-core-blue-777884f8b4-fznmt | Container:git-checkout
	Node:bramega330.internal.domain - Has no CPU requests for Pod:gpas-core-blue-777884f8b4-fznmt | Container:core-logrotate
	Node:bramega330.internal.domain - Has no Memory requests for Pod:gpas-core-blue-777884f8b4-fznmt | Container:core-logrotate
	Node:bramega350.internal.domain - Has no CPU requests for Pod:gpas-core-blue-777884f8b4-s52qd | Container:git-checkout
	Node:bramega350.internal.domain - Has no Memory requests for Pod:gpas-core-blue-777884f8b4-s52qd | Container:git-checkout
	Node:bramega350.internal.domain - Has no CPU requests for Pod:gpas-core-blue-777884f8b4-s52qd | Container:core-logrotate
	Node:bramega350.internal.domain - Has no Memory requests for Pod:gpas-core-blue-777884f8b4-s52qd | Container:core-logrotate
	Node:bramega340.internal.domain - Has no CPU requests for Pod:gpas-core-blue-777884f8b4-txs49 | Container:git-checkout
	Node:bramega340.internal.domain - Has no Memory requests for Pod:gpas-core-blue-777884f8b4-txs49 | Container:git-checkout
	Node:bramega340.internal.domain - Has no CPU requests for Pod:gpas-core-blue-777884f8b4-txs49 | Container:core-logrotate
	Node:bramega340.internal.domain - Has no Memory requests for Pod:gpas-core-blue-777884f8b4-txs49 | Container:core-logrotate
	Node:bramega380.internal.domain - Has no CPU requests for Pod:gpas-core-blue-777884f8b4-xdj6j | Container:git-checkout
	Node:bramega380.internal.domain - Has no Memory requests for Pod:gpas-core-blue-777884f8b4-xdj6j | Container:git-checkout
	Node:bramega380.internal.domain - Has no CPU requests for Pod:gpas-core-blue-777884f8b4-xdj6j | Container:core-logrotate
	Node:bramega380.internal.domain - Has no Memory requests for Pod:gpas-core-blue-777884f8b4-xdj6j | Container:core-logrotate
	Node:bramega340.internal.domain - Has no CPU requests for Pod:gpas-couchbase-0000 | Container:metrics
	Node:bramega340.internal.domain - Has no Memory requests for Pod:gpas-couchbase-0000 | Container:metrics
	Node:bramega370.internal.domain - Has no CPU requests for Pod:gpas-couchbase-0001 | Container:metrics
	Node:bramega370.internal.domain - Has no Memory requests for Pod:gpas-couchbase-0001 | Container:metrics
	Node:bramega380.internal.domain - Has no CPU requests for Pod:gpas-couchbase-0004 | Container:metrics
	Node:bramega380.internal.domain - Has no Memory requests for Pod:gpas-couchbase-0004 | Container:metrics
	Node:bramega340.internal.domain - Has no CPU requests for Pod:gpas-couchbase-0007 | Container:metrics
	Node:bramega340.internal.domain - Has no Memory requests for Pod:gpas-couchbase-0007 | Container:metrics
	Node:bramega360.internal.domain - Has no CPU requests for Pod:gpas-couchbase-0008 | Container:metrics
	Node:bramega360.internal.domain - Has no Memory requests for Pod:gpas-couchbase-0008 | Container:metrics
	Node:bramega390.internal.domain - Has no CPU requests for Pod:gpas-couchbase-0009 | Container:metrics
	Node:bramega390.internal.domain - Has no Memory requests for Pod:gpas-couchbase-0009 | Container:metrics
	Node:bramega370.internal.domain - Has no CPU requests for Pod:gpas-couchbase-0010 | Container:metrics
	Node:bramega370.internal.domain - Has no Memory requests for Pod:gpas-couchbase-0010 | Container:metrics
	Node:bramega380.internal.domain - Has no CPU requests for Pod:gpas-couchlabs-exporter-574965f98d-twzmd | Container:prometheus-couchlabs-exporter
	Node:bramega380.internal.domain - Has no Memory requests for Pod:gpas-couchlabs-exporter-574965f98d-twzmd | Container:prometheus-couchlabs-exporter
	Node:bramega390.internal.domain - Has no CPU requests for Pod:gpas-forfun-76d5548d44-dqzjx | Container:core-logrotate
	Node:bramega390.internal.domain - Has no Memory requests for Pod:gpas-forfun-76d5548d44-dqzjx | Container:core-logrotate
	Node:bramega330.internal.domain - Has no CPU requests for Pod:gpas-forfun-76d5548d44-zwmtq | Container:core-logrotate
	Node:bramega330.internal.domain - Has no Memory requests for Pod:gpas-forfun-76d5548d44-zwmtq | Container:core-logrotate
	Node:bramega350.internal.domain - Has no CPU requests for Pod:gpas-front-64dfb9689d-lxkgp | Container:core-logrotate
	Node:bramega350.internal.domain - Has no Memory requests for Pod:gpas-front-64dfb9689d-lxkgp | Container:core-logrotate
	Node:bramega330.internal.domain - Has no CPU requests for Pod:gpas-front-64dfb9689d-svgd5 | Container:core-logrotate
	Node:bramega330.internal.domain - Has no Memory requests for Pod:gpas-front-64dfb9689d-svgd5 | Container:core-logrotate
	Node:bramega350.internal.domain - Has no CPU requests for Pod:gpas-maintenance-856d5966cc-pnl4d | Container:git-checkout
	Node:bramega350.internal.domain - Has no Memory requests for Pod:gpas-maintenance-856d5966cc-pnl4d | Container:git-checkout
	Node:bramega350.internal.domain - Has no CPU requests for Pod:gpas-maintenance-856d5966cc-pnl4d | Container:core-logrotate
	Node:bramega350.internal.domain - Has no Memory requests for Pod:gpas-maintenance-856d5966cc-pnl4d | Container:core-logrotate
	Node:bramega330.internal.domain - Has no CPU requests for Pod:gpas-mp-687df9444b-rxhfr | Container:core-logrotate
	Node:bramega330.internal.domain - Has no Memory requests for Pod:gpas-mp-687df9444b-rxhfr | Container:core-logrotate
